
---------- Begin Simulation Statistics ----------
simSeconds                                   0.008784                       # Number of seconds simulated (Second)
simTicks                                   8783970300                       # Number of ticks simulated (Tick)
finalTick                                  8783970300                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     86.14                       # Real time elapsed on the host (Second)
hostTickRate                                101968708                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8525288                       # Number of bytes of host memory used (Byte)
simInsts                                     14793986                       # Number of instructions simulated (Count)
simOps                                       17433143                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   171736                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     202372                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           588                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage     1.100000                       # Voltage in Volts (Volt)
system.cpu.numCycles                         14938726                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        19730893                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   274929                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       19597299                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  60525                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2572678                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            983097                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               29929                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            14899126                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.315332                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.206965                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   5475378     36.75%     36.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2567052     17.23%     53.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3990302     26.78%     80.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2417146     16.22%     96.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    448035      3.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      1213      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 5                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              14899126                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass             5203745      1.89%      1.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 5203745      1.89%      3.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                5203745      1.89%      5.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                 5203745      1.89%      7.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd               5203745      1.89%      9.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp               5203745      1.89%     11.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt               5203745      1.89%     13.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult              5203745      1.89%     15.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc           5203745      1.89%     16.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv               5203745      1.89%     18.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc              5203745      1.89%     20.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt              5203745      1.89%     22.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                5203745      1.89%     24.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc             5203745      1.89%     26.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                5203745      1.89%     28.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                5203745      1.89%     30.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                5203745      1.89%     32.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc               5203745      1.89%     33.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult               5203745      1.89%     35.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc            5203745      1.89%     37.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift              5203745      1.89%     39.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc           5203745      1.89%     41.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                5203745      1.89%     43.40% # attempts to use FU when none available (Count)
