
---------- Begin Simulation Statistics ----------
simSeconds                                   0.410342                       # Number of seconds simulated (Second)
simTicks                                 410341981790                       # Number of ticks simulated (Tick)
finalTick                                410341981790                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4518.24                       # Real time elapsed on the host (Second)
hostTickRate                                 90819018                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9331312                       # Number of bytes of host memory used (Byte)
simInsts                                    514831561                       # Number of instructions simulated (Count)
simOps                                      927046654                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   113945                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     205179                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           667                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu0.numCycles                       615205371                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.194964                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.836845                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     1015411648                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   46064                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     987259399                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                291618                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            88411052                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined        156783260                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               8975                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          581716757                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.697148                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.366584                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                322824255     55.50%     55.50% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 42538487      7.31%     62.81% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 45884236      7.89%     70.70% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 39683612      6.82%     77.52% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 35484343      6.10%     83.62% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 30486335      5.24%     88.86% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 28550365      4.91%     93.77% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 21890625      3.76%     97.53% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 14374499      2.47%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            581716757                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                8351982     73.59%     73.59% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     73.59% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     73.59% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     73.59% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     73.59% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     73.59% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     73.59% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     73.59% # attempts to use FU when none available (Count)
