
---------- Begin Simulation Statistics ----------
simSeconds                                   0.483447                       # Number of seconds simulated (Second)
simTicks                                 483446614400                       # Number of ticks simulated (Tick)
finalTick                                483446614400                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4267.21                       # Real time elapsed on the host (Second)
hostTickRate                                113293336                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9325452                       # Number of bytes of host memory used (Byte)
simInsts                                    508880084                       # Number of instructions simulated (Count)
simOps                                      916944652                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   119254                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     214881                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           800                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage     0.950000                       # Voltage in Volts (Volt)
system.cpu0.numCycles                       604308269                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.187526                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.842087                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     1001835217                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   46295                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     974997326                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                286999                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            84936854                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined        151060301                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               9206                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          573129885                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.701180                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.370374                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                318106468     55.50%     55.50% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 41547545      7.25%     62.75% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 45308624      7.91%     70.66% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 38764523      6.76%     77.42% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 34696292      6.05%     83.48% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 30380878      5.30%     88.78% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 28520749      4.98%     93.75% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 21713536      3.79%     97.54% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 14091270      2.46%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            573129885                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                8189279     72.56%     72.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     72.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     72.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     72.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     72.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     72.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     72.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     72.56% # attempts to use FU when none available (Count)
